username,timestamp_text,comment_text,cleaned_tokens,cleaned_text
@milojadez,14 hours ago,"There are people out there that actually are able to read minds and solve murders unexplainably, this guy just found his way to gain from it.",people|actually|able|read|mind|solve|murder|unexplainably|guy|found|way|gain,people actually able read mind solve murder unexplainably guy found way gain
@JasonWestaway,22 hours ago,"Wow, that was insane!",wow|insane,wow insane
@THEHONESTREPLAY,1 day ago,"That's all are fake,  Edited,  i challenged,",thats|fake|edited|challenged,thats fake edited challenged
@serenaLei06,1 day ago,"Wait, how did he do that?",wait,wait
@ainomugishanancy206,1 day ago,"If i know how people think,i know what they think.",know|people|thinki|know|think,know people thinki know think
@adlpellerin,2 days ago,"So what's the conclusion ? I also knew it was Barack Obama so what does it means, why did I feel that and how ? I can't imagine that it was a lucky guess, can I ?! TED, don't leave us without a conclusion, that is not like you! haha",whats|conclusion|also|knew|barack|obama|mean|feel|cant|imagine|lucky|guess|ted|dont|leave|without|conclusion|like|haha,whats conclusion also knew barack obama mean feel cant imagine lucky guess ted dont leave without conclusion like haha
@lindam7430,2 days ago,Please read Pres DJT's mind and tell him to knock it off !!,please|read|pres|djts|mind|tell|knock,please read pres djts mind tell knock
@PeeyushK-jq3ol,2 days ago,i really feel like a scam but .....Ted talk ...?,really|feel|like|scam|ted|talk,really feel like scam ted talk
@NicknSuzSegura,3 days ago,Queen  Latifa,queen|latifa,queen latifa
@Abstractless,4 days ago,"Fake most probably. They both in same team from his expression. Alexander the Great, fine, idk anyone could come up with any name that no one knows like maybe Indian old saint",fake|probably|team|expression|alexander|great|fine|idk|anyone|could|come|name|one|know|like|maybe|indian|old|saint,fake probably team expression alexander great fine idk anyone could come name one know like maybe indian old saint
@junemoonchild69,4 days ago,"He's simply manipulating people, watching their body language, using the logic of natural odds...and he likely makes more mistakes than what you see edited for television. Boring and been done already...",he|simply|manipulating|people|watching|body|language|using|logic|natural|oddsand|likely|make|mistake|see|edited|television|boring|done|already,he simply manipulating people watching body language using logic natural oddsand likely make mistake see edited television boring done already
@pbone32,4 days ago,"so Oz kept saying ""you have to believe it in order to achieve it"". Which Google finishes a search entry with...Barack Obama... It didn't trigger for me, but I guess it did for Brett? ...and I only remember his name because he stressed the two Ts.",kept|saying|believe|order|achieve|google|finish|search|entry|withbarack|obama|didnt|trigger|guess|brett|remember|name|stressed|two,kept saying believe order achieve google finish search entry withbarack obama didnt trigger guess brett remember name stressed two
@seamourhiney,5 days ago,"You might bill YOURSELF as the “World’s Greatest Mind Reader”, but there are those of us who KNOW - that you’re barely an average magician who was lucky enough to find himself a really good Publicist!",might|bill|world|greatest|mind|reader|know|youre|barely|average|magician|lucky|enough|find|really|good|publicist,might bill world greatest mind reader know youre barely average magician lucky enough find really good publicist
@SecureBizOfficial,5 days ago,"Oz Pearlman is truly a master of behavioral psychology! 🧠 His quote, 'If I knew how you think, I would know what you think' [00:36] is a sharp reminder for us at Secure Biz. In the security world, we know that humans are often the weakest link, and social engineering is how hackers 'read' us, just like Oz did on stage. I was very impressed with the 'Listen - Repeat - Respond' process [06:13]. This isn't just about remembering names, but about actually being present and building trust—the most important thing in any security system. Oz's confidence in the outcome [11:04] is the philosophy we strive for when setting up protection solutions for our clients: absolute peace of mind. Thank you to TED for sharing this inspiring presentation. This video reminds us that: to protect the system, we must first understand our own minds!",pearlman|truly|master|behavioral|psychology|quote|knew|think|would|know|think|sharp|reminder|secure|biz|security|world|know|human|often|weakest|link|social|engineering|hacker|read|like|stage|impressed|listen|repeat|respond|process|isnt|remembering|name|actually|present|building|trustthe|important|thing|security|system|ozs|confidence|outcome|philosophy|strive|setting|protection|solution|client|absolute|peace|mind|thank|ted|sharing|inspiring|presentation|video|reminds|protect|system|must|first|understand|mind,pearlman truly master behavioral psychology quote knew think would know think sharp reminder secure biz security world know human often weakest link social engineering hacker read like stage impressed listen repeat respond process isnt remembering name actually present building trustthe important thing security system ozs confidence outcome philosophy strive setting protection solution client absolute peace mind thank ted sharing inspiring presentation video reminds protect system must first understand mind
